car_model,price,year_model,kms,color,fueltype
Kia Rio 1.25,$53.000.000,2018,52.000,Rojo,Gasolina
Kia Rio 1.5 Stylus,$23.000.000,2011,143.000,Blanco,Gasolina
Kia Rio Spice 1.2,$39.800.000,2015,88.000,Color not found,Gasolina
Kia Rio 1.4 4 p,$37.500.000,2014,97.000,Color not found,Gasolina
Kia Rio Spice,$38.000.000,2012,98.900,Blanco,Gasolina
Kia Rio 1.4 5 p,$37.000.000,2014,164.352,Blanco,Gasolina
Kia Rio 1.4,$62.000.000,2021,39.000,Plateado,Gasolina
Kia Rio 1.2 4 p,$37.000.000,2014,100.000,Color not found,Gasolina
Kia Rio 1.25,$38.500.000,2015,139.000,Color not found,Gasolina
Kia Rio 1.4,$52.900.000,2020,40.400,Blanco,Gasolina
Kia Río Stylus 2012,$21.000.000,2012,165.000,Gris,Gasolina
Kia Optima 2.0,$43.000.000,2015,79.000,Blanco,Gasolina
Kia Vibrant,$59.000.000,2021,41.200,Plateado,Gasolina
Kia Rio Spice 1.2,$39.000.000,2015,92.000,Blanco,Gasolina
Kia Rio Spice Río Space Uv,$37.000.000,2014,130.790,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$50.000.000,2018,84.800,Gris,Gasolina
Kia Rio Spice Spice,$38.500.000,2014,92.000,Color not found,Gasolina
Kia Rio 1.4 4 p,$35.500.000,2013,103.000,Color not found,Gasolina
Kia Rio 1.2 4 p,$30.000.000,2014,1,Color not found,Gasolina
Kia Rio 1.4,$53.000.000,2018,65.400,Color not found,Gasolina
Kia Rio 1.4 4 p Automática,$42.000.000,2017,94.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant At,$56.000.000,2021,51.500,Blanco,Gasolina
Kia Rio 1.4 Vibrant Mt,$58.000.000,2021,29.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$42.000.000,2013,70.500,Color not found,Gasolina
Kia Rio 1.5 Stylus,$27.000.000,2016,116.000,Negro,Gasolina
Kia Rio 1.4 5 p,$22.000.000,2011,151.000,Blanco,Gasolina
Kia Rio 1.5 Stylus,$26.500.000,2016,87.000,Gris,Gasolina
Kia Rio 1.25 5 p,$42.000.000,2016,105.000,Azul,Gasolina
Kia Rio 1.4 4 p Automática,$43.000.000,2017,120.000,Plateado,Gasolina
Kia Rio 1.4,$55.000.000,2018,68.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$35.000.000,2013,97.353,Color not found,Gasolina
Kia Rio 1.25,$40.500.000,2015,87.000,Color not found,Gasolina
Kia Rio R Ub Ex 2016,$44.000.000,2016,72.000,Plateado,Gasolina
Kia Rio 1.25,$30.000.000,2015,90.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$64.000.000,2022,35.000,Color not found,Gasolina
Kia Rio Spice R- Full 2016,$48.000.000,2016,51.000,Plateado,Gasolina
Kia Rio Zenith Modelo 2019,$61.000.000,2019,67.998,Plateado,Gasolina
Kia Rio Spice 1.2,$41.000.000,2015,69.000,Gris,Gasolina
Kia Rio 1.4 4 p,$36.000.000,2012,135.000,Gris,Gasolina
Kia Rio 1.5 Stylus,$30.500.000,2016,71.000,Plateado,Gasolina
Kia Rio 1.25,$43.500.000,2015,51.000,Rojo,Gasolina
Kia Rio 1.6 5 p,$25.700.000,2010,209.079,Plateado,Gasolina
Kia Rio 1.4 Vibrant At,$61.000.000,2020,45.000,Color not found,Gasolina
Kia Rio Sedán Se Vende $$,$33.000.000,2012,137.000,Color not found,Gasolina
Kia Rio 1.5 Stylus,$25.500.000,2014,87.000,Plateado,Gasolina
Kia Rio 1.4 4 p 109 hp,$37.500.000,2012,128.000,Blanco,Gasolina
Kia Rio 1.4 4 p Automática,$45.000.000,2017,82.200,Blanco,Gasolina
Kia Rio 2018,$46.700.000,2018,102.000,Plateado,Gasolina
Kia Rio 1.4,$61.000.000,2020,60.000,Blanco,Gasolina
Kia Rio Ub Ex,$43.000.000,2017,88.200,Negro,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$57.000.000,2020,58.000,Gris,Gasolina
Kia Rio 1.4 4 p,$33.500.000,2013,124.000,Plateado,Gasolina
Kia Rio Spice R Summa 1.2,$51.000.000,2017,59.000,Color not found,Gasolina
Kia Rio 1.4,$49.900.000,2020,45.000,Color not found,Gasolina
Kia Sorento 2.4 Lx,$52.999.999,2012,196.000,Plateado,Gasolina
Kia Rio 1.4 5 p,$41.500.000,2014,102.300,Negro,Gasolina
Kia Rio 1.5 Stylus,$27.490.000,2015,93.000,Gris,Gasolina
Rio Sedan Vibrant 2024,$81.900.000,2023,12.000,Gris,Gasolina
Kia Picanto 1.25 Ion R Summa,$40.000.000,2017,69.000,Rojo,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$55.000.000,2019,96.000,Blanco,Gasolina
Kia Rio 1.25,$44.000.000,2015,112.000,Plateado,Gasolina
Kia Rio Spice,$46.500.000,2016,59.000,Azul,Gasolina
Kia Rio 1.2 5 p,$36.500.000,2014,98.000,Negro,Gasolina
Kia Rio 1.2 4 p,$48.000.000,2017,63.704,Color not found,Gasolina
Kia Rio 1.4,$57.000.000,2020,24.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant At,$65.900.000,2023,15.800,Azul,Gasolina
Kia Rio 1.4 4 p,$37.000.000,2013,160.000,Color not found,Gasolina
Kia Rio 1.4,$53.900.000,2018,37.200,Color not found,Gasolina
Kia Rio 1.5 Stylus,$23.000.000,2010,77.300,Gris,Gasolina
Kia Rio 1.6 4 p,$23.000.000,2008,194.000,Gris,Gasolina
Kia Rio 1.2 4 p,$52.000.000,2015,100.942,Blanco,Gasolina
Kia Rio Spice 1.4,$40.000.000,2013,123.000,Plateado,Gasolina
Kia Rio 1.4 Vibrant At,$58.500.000,2020,33.000,Negro,Gasolina
Kia Rio 1.2 4 p,$40.000.000,2014,46.000,Gris,Gasolina
Kia Rio 1.6 5 p,$27.000.000,2011,175.000,Gris,Gasolina
Kia Rio Spice Kia Rio Spice,$38.000.000,2014,129,Color not found,Gasolina
Kia Rio Sedán Stylus,$25.000.000,2012,115.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$56.200.000,2020,64.000,Gris,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$69.700.000,2021,27.000,Color not found,Gasolina
Kia Rio 1.6 4 p,$25.500.000,2011,168.000,Color not found,Gasolina
Kia Rio R Kia Río R ,$46.900.000,2016,79.000,Color not found,Gasolina
Kia Rio 1.4 4 p,$36.000.000,2013,135.000,Plateado,Gasolina
Kia Rio 1.4,$56.000.000,2018,47.000,Color not found,Gasolina
Kia Rio 1.25,$38.000.000,2015,80.000,Negro,Gasolina
Kia Rio Spice R 1.4,$42.600.000,2015,89.000,Gris,Gasolina
Kia Río Xcite 2012,$30.000.000,2012,145.000,Gris,Gasolina
